,Acurácia,Precisão,Recall,F1-Score,CV Média
Árvore de Decisão,0.8968968968968969,0.8966372767395504,0.8968968968968969,0.8966424106770572,0.902975456659667
Random Forest,0.8778778778778779,0.8782885540687253,0.8778778778778779,0.8778068945008071,0.8864548759285601
Regressão Logística,0.8958958958958959,0.8990609623911611,0.8958958958958959,0.8956605968172411,0.9032757569599674
Rede Neural (MLP),0.9099099099099099,0.9113604368153342,0.9099099099099099,0.9096892142598356,0.897568696516065
